a/a	LAT	LON	Soil_cond	k	crustal amplification file	input_file
286	40.64951	22.9775	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
287	40.64674	22.982	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
288	40.64397	22.9865	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
289	40.6412	22.991	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
290	40.63843	22.9955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
291	40.63567	23	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
292	40.67893	22.937	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
293	40.67616	22.9415	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
294	40.67339	22.946	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
295	40.67062	22.9505	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
296	40.66785	22.955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
297	40.66508	22.9595	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
298	40.66231	22.964	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
299	40.65955	22.9685	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
300	40.65678	22.973	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
301	40.65401	22.9775	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
302	40.65124	22.982	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
303	40.64847	22.9865	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
304	40.6457	22.991	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
305	40.64293	22.9955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
306	40.64017	23	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
307	40.67789	22.946	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
308	40.67512	22.9505	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
309	40.67235	22.955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
310	40.66958	22.9595	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
311	40.66681	22.964	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
312	40.66405	22.9685	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
313	40.66128	22.973	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
314	40.65851	22.9775	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
315	40.65574	22.982	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
316	40.65297	22.9865	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
317	40.6502	22.991	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
318	40.64743	22.9955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
319	40.64467	23	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
320	40.67962	22.9505	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
321	40.67685	22.955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
322	40.67408	22.9595	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
323	40.67131	22.964	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
324	40.66855	22.9685	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
325	40.66578	22.973	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
326	40.66301	22.9775	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
327	40.66024	22.982	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
328	40.65747	22.9865	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
329	40.6547	22.991	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
330	40.65193	22.9955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
331	40.64917	23	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
